Wavelength,Intensity
584.78,207.5
584.89,1479.9
585,3753.1
585.11,5137
585.22,6303.2
585.33,6045.1
585.43,4236.2
585.54,2533.7
585.65,811
585.76,138.3
585.87,44.5
585.98,32.9
586.09,25.8
586.2,27.2
586.3,22.7
586.41,23.1
586.52,13.3
586.63,18.7
586.74,21.4
586.85,25
586.95,28.7
587.06,26.9
587.17,29.3
587.28,36.7
587.39,37
587.5,37.8
587.6,39.3
587.71,133.1
587.82,1073.9
587.93,2692.2
588.04,3744.9
588.14,4626.1
588.25,4586.9
588.36,3319.7
588.47,2025.2
588.58,708.8
588.68,117.6
588.79,31.9
588.9,15.2
589.01,15.5
589.11,21.7
589.22,22.8
589.33,22.6
589.44,12.1
589.54,18.6
589.65,15
589.76,20.3
589.87,27.4
589.97,33
590.08,34.4
590.19,42.8
590.3,55.2
590.4,56.7
590.51,50.1
590.62,41.7
590.72,32.8
590.83,31.9
590.94,30.7
591.05,27.4
591.15,19.4
591.26,21.5
591.37,22.5
591.47,26.3
591.58,28.4
591.69,23
591.79,19.5
591.9,20.5
592.01,21.6
592.11,24.4
592.22,24
592.33,16.2
592.43,12.2
592.54,14.6
592.65,21.1
592.75,23.8
592.86,18
592.96,14.7
593.07,20
593.18,22.9
593.28,24.9
593.39,26.3
593.5,20.6
593.6,26
593.71,29.9
593.81,39.8
593.92,72.3
594.03,442.7
594.13,2314.6
594.24,4472.6
594.34,5997.8
594.45,7405.9
594.55,7144.4
594.66,5488.7
594.77,3628.8
594.87,1345.6
594.98,206.6
595.08,48.8
595.19,26.6
595.29,25
595.4,19.9
595.5,24.8
595.61,27.4
595.71,23.5
595.82,19.1
595.92,17.8
596.03,25.6
596.14,31.9
596.24,32.4
596.35,30.3
596.45,33.1
596.56,37.6
596.66,41
596.77,36.4
596.87,28
596.98,29.8
597.08,116.7
597.18,561.8
597.29,1136.7
597.39,1581.6
597.5,1976.2
597.6,2046.4
597.71,1634.4
597.81,1112.6
597.92,484.7
598.02,100.8
598.13,25.9
598.23,20.2
598.33,23
598.44,28.8
598.54,31.5
598.65,26.1
598.75,34.3
598.86,38.1
598.96,40.1
599.06,39.8
599.17,27.8
599.27,22.5
599.38,23.8
599.48,23.5
599.58,24.7
599.69,21.9
599.79,16.6
599.89,19.3
600,19.4
600.1,24
600.21,26.6
600.31,17.2
600.41,13.6
600.52,14.6
600.62,24.6
600.72,23.8
600.83,19.2
600.93,14.9
601.03,15.4
601.14,16.8
601.24,20.5
601.34,21.6
601.45,16.1
601.55,21.7
601.65,17.8
601.76,26.9
601.86,28.2
601.96,21.9
602.06,15
602.17,17.4
602.27,24.7
602.37,30.7
602.48,59.6
602.58,363.4
602.68,1047.8
602.78,1736.7
602.89,2333.9
602.99,2893
603.09,2586.5
603.19,1983.4
603.3,1222.4
603.4,407
603.5,72.6
603.6,30.4
603.71,19.2
603.81,22.4
603.91,19.4
604.01,26.2
604.12,25.9
604.22,16.9
604.32,18.3
604.42,25
604.52,24
604.63,28.7
604.73,26.3
604.83,18.1
604.93,20.9
605.03,21
605.13,24.9
605.24,24
605.34,18.2
605.44,18.4
605.54,20.8
605.64,27.5
605.74,30.8
605.85,23.8
605.95,17.5
606.05,24.3
606.15,31.8
606.25,33.2
606.35,33.4
606.45,27.2
606.56,30.6
606.66,37.1
606.76,45.1
606.86,70
606.96,333.3
607.06,1584.3
607.16,3410.9
607.26,5135.9
607.36,7109.4
607.46,7817.8
607.57,6461
607.67,4644.4
607.77,2314
607.87,519.8
607.97,88
608.07,47.3
608.17,43.3
608.27,41.6
608.37,47.3
608.47,48.9
608.57,45
608.67,42
608.77,46.2
608.87,55.1
608.97,75.4
609.07,160
609.17,955.3
609.27,3557.8
609.37,6709
609.47,9880.4
609.57,13297.7
609.67,13345.4
609.77,10891.2
609.87,7524.5
609.97,3053.6
610.07,522.5
610.17,96.4
610.27,53.7
610.37,46.5
610.47,45.7
610.57,48.5
610.67,45.8
610.77,39
610.87,34.5
610.97,35.8
611.07,43.5
611.17,41.6
611.27,38.4
611.37,36.5
611.47,35.7
611.56,44.1
611.66,41.6
611.76,45.9
611.86,39.5
611.96,43.3
612.06,41.3
612.16,47.6
612.26,48.2
612.36,53.4
612.46,103.9
612.55,201.8
612.65,317.2
612.75,452.2
612.85,524.3
612.95,455.1
613.05,359.1
613.15,223.1
613.24,109.7
613.34,73.4
613.44,73.7
613.54,78
613.64,104
613.74,184.2
613.84,951.2
613.93,4621.5
614.03,10714.8
614.13,17736.2
614.23,26319
614.33,29040.1
614.42,25014.2
614.52,18309.4
614.62,9025.8
614.72,2042.4
614.82,256.6
614.91,108.3
615.01,80.2
615.11,69.9
615.21,64.2
615.3,59.8
615.4,63.1
615.5,56.9
615.6,52.2
615.69,58.4
615.79,74.5
615.89,278.2
615.99,1241.1
616.08,2943.7
616.18,5060.2
616.28,7510.1
616.38,8335.4
616.47,7230.8
616.57,5355.5
616.67,2691.8
616.76,620.5
616.86,96.6
616.96,52.7
617.05,47.7
617.15,39.7
617.25,40.1
617.34,40.8
617.44,49.4
617.54,47.9
617.64,42.7
617.73,34.8
617.83,34.8
617.92,38.6
618.02,45.4
618.12,50.4
618.21,44
618.31,44.9
618.41,40.4
618.5,38.2
618.6,38.6
618.7,31.5
618.79,31.9
618.89,32.8
618.98,36.5
619.08,37.2
619.18,33.6
619.27,28.3
619.37,26.5
619.46,28.2
619.56,35.9
619.65,38.4
619.75,34.5
619.85,27.9
619.94,25.4
620.04,31.2
620.13,35.8
620.23,36.6
620.32,29.6
620.42,31.2
620.52,38.8
620.61,40.4
620.71,44
620.8,35.5
620.9,34.4
620.99,41.1
621.09,51.6
621.18,77.2
621.28,285.9
621.37,1207.6
621.47,2911
621.56,5326.5
621.66,7592.7
621.75,8018.5
621.85,6875.7
621.94,4804
622.04,2173.9
622.13,427.8
622.22,73.7
622.32,46.5
622.41,36.9
622.51,35.7
622.6,32.5
622.7,36.2
622.79,34.4
622.89,26.7
622.98,24.3
623.07,28
623.17,33.4
623.26,34.9
623.36,28.9
623.45,23.8
623.55,25
623.64,30.4
623.73,31.3
623.83,33.8
623.92,20.8
624.01,26.9
624.11,29.4
