-233.73,44
-232.02,-20
-230.31,-165
-228.6,-152
-226.89,-82
-225.18,-34
-223.47,-50
-221.76,14
-220.06,-36
-218.35,70
-216.64,-69
-214.93,-75
-213.22,-54
-211.52,-24
-209.81,-40
-208.1,46
-206.4,38
-204.69,10
-202.98,54
-201.28,-103
-199.57,67
-197.87,18
-196.16,0
-194.46,-30
-192.75,-55
-191.05,76
-189.35,-62
-187.64,-7
-185.94,-62
-184.24,20
-182.54,-66
-180.84,-124
-179.13,115
-177.43,-5
-175.73,56
-174.03,-79
-172.33,31
-170.63,100
-168.93,38
-167.23,-82
-165.53,-84
-163.83,5
-162.14,13
-160.44,-16
-158.74,23
-157.04,-69
-155.35,9
-153.65,0
-151.95,-108
-150.26,82
-148.56,-22
-146.86,-30
-145.17,-59
-143.47,-26
-141.78,33
-140.08,147
-138.39,64
-136.7,26
-135,-60
-133.31,-108
-131.62,-89
-129.92,-29
-128.23,28
-126.54,31
-124.85,-11
-123.15,68
-121.46,-122
-119.77,-64
-118.08,93
-116.39,-19
-114.7,-1
-113.01,-19
-111.32,-62
-109.63,-2
-107.95,21
-106.26,-36
-104.57,-81
-102.88,-46
-101.19,-58
-99.51,11
-97.82,51
-96.13,-52
-94.45,-39
-92.76,-89
-91.07,0
-89.39,-10
-87.7,70
-86.02,-4
-84.33,17
-82.65,-21
-80.97,-59
-79.28,59
-77.6,-15
-75.92,-10
-74.23,-89
-72.55,-75
-70.87,14
-69.19,-78
-67.5,-39
-65.82,55
-64.14,54
-62.46,12
-60.78,-71
-59.1,54
-57.42,60
-55.74,4
-54.06,-72
-52.38,137
-50.71,69
-49.03,-84
-47.35,21
-45.67,-47
-43.99,15
-42.32,136
-40.64,-14
-38.96,-23
-37.29,-24
-35.61,-14
-33.94,32
-32.26,-63
-30.59,66
-28.91,-49
-27.24,20
-25.56,61
-23.89,-20
-22.22,-84
-20.54,-24
-18.87,69
-17.2,94
-15.53,-81
-13.85,-27
-12.18,68
-10.51,-34
-8.84,6
-7.17,3
-5.5,-41
-3.83,-45
-2.16,82
-0.49,60
1.18,-80
2.85,-39
4.52,-95
6.19,32
7.86,-21
9.52,21
11.19,-75
12.86,17
14.53,-12
16.19,179
17.86,-5
19.52,66
21.19,1
22.86,-108
24.52,46
26.19,19
27.85,21
29.51,31
31.18,-57
32.84,-17
34.51,-7
36.17,21
37.83,-27
