ENLIGHTEN Version,2.2.7
Measurement ID,20210319-100825-479282-WP-00532
Serial Number,WP-00532
Model,WP-532-R-SR-S
Label,10:08:25 WP-00532
Declared Match,
Declared Score,0
Scan Averaging,8
Boxcar,0
Technique,Scope
Baseline Correction Algo,
ROI Pixel Start,1023
ROI Pixel End,1023
Slit Width,50
Vignetted,False
Interpolated,False
Raman Intensity Corrected,False
Deconvolved,False
Integration Time,18000
Timestamp,2021-03-19 10:08:25.479282
Note,
Temperature,9.942695953194743
CCD C0,534.4705200195312
CCD C1,0.12332911789417267
CCD C2,-1.4740236110810656e-05
CCD C3,-2.6965287780456038e-09
CCD Offset,0
CCD Gain,1.9
Laser Wavelength,532.0
Laser Enable,False
Laser Power,100
Laser Temperature,0
Pixel Count,1024

Pixel,Wavelength,Wavenumber,Processed,Raw,Dark
0,534.47,86.89,2871.38,2871.38,
1,534.59,91.20,2867.00,2867.00,
2,534.72,95.52,2899.62,2899.62,
3,534.84,99.83,2740.75,2740.75,
4,534.96,104.13,2881.25,2881.25,
5,535.09,108.44,2921.62,2921.62,
6,535.21,112.74,2889.50,2889.50,
7,535.33,117.03,3133.25,3133.25,
8,535.46,121.33,2916.38,2916.38,
9,535.58,125.62,2836.62,2836.62,
10,535.70,129.91,3055.62,3055.62,
11,535.83,134.20,3438.38,3438.38,
12,535.95,138.48,3021.25,3021.25,
13,536.07,142.76,5853.75,5853.75,
14,536.19,147.03,2991.38,2991.38,
15,536.32,151.31,2930.12,2930.12,
16,536.44,155.58,3386.75,3386.75,
17,536.56,159.85,2850.00,2850.00,
18,536.69,164.11,3008.62,3008.62,
19,536.81,168.37,3014.50,3014.50,
20,536.93,172.63,3010.88,3010.88,
21,537.05,176.89,3022.25,3022.25,
22,537.18,181.14,2995.12,2995.12,
23,537.30,185.39,3119.12,3119.12,
24,537.42,189.64,3103.50,3103.50,
25,537.54,193.88,3020.25,3020.25,
26,537.67,198.12,3086.50,3086.50,
27,537.79,202.36,3367.00,3367.00,
28,537.91,206.60,3418.25,3418.25,
29,538.03,210.83,3689.00,3689.00,
30,538.16,215.06,3985.62,3985.62,
31,538.28,219.28,4074.25,4074.25,
32,538.40,223.51,3813.50,3813.50,
33,538.52,227.73,3625.75,3625.75,
34,538.65,231.94,3523.88,3523.88,
35,538.77,236.16,3766.12,3766.12,
36,538.89,240.37,3446.88,3446.88,
37,539.01,244.58,3323.12,3323.12,
38,539.14,248.78,3398.75,3398.75,
39,539.26,252.99,3393.88,3393.88,
40,539.38,257.19,3183.25,3183.25,
41,539.50,261.38,3210.50,3210.50,
42,539.62,265.58,3286.00,3286.00,
43,539.75,269.77,3820.50,3820.50,
44,539.87,273.95,6190.88,6190.88,
45,539.99,278.14,8742.62,8742.62,
46,540.11,282.32,9319.00,9319.00,
47,540.23,286.50,8566.50,8566.50,
48,540.36,290.68,5769.38,5769.38,
49,540.48,294.85,4587.62,4587.62,
50,540.60,299.02,4154.62,4154.62,
51,540.72,303.19,4171.25,4171.25,
52,540.84,307.35,4170.50,4170.50,
53,540.97,311.51,4300.50,4300.50,
54,541.09,315.67,4147.00,4147.00,
55,541.21,319.83,4127.50,4127.50,
56,541.33,323.98,4096.25,4096.25,
57,541.45,328.13,4038.75,4038.75,
58,541.57,332.28,3792.50,3792.50,
59,541.70,336.42,3837.25,3837.25,
60,541.82,340.56,4051.62,4051.62,
61,541.94,344.70,3758.75,3758.75,
62,542.06,348.84,3723.75,3723.75,
63,542.18,352.97,3614.50,3614.50,
64,542.30,357.10,3559.25,3559.25,
65,542.42,361.23,3618.75,3618.75,
66,542.55,365.35,3832.25,3832.25,
67,542.67,369.47,5109.25,5109.25,
68,542.79,373.59,3647.00,3647.00,
69,542.91,377.70,3665.25,3665.25,
70,543.03,381.82,3660.75,3660.75,
71,543.15,385.93,3664.88,3664.88,
72,543.27,390.03,3858.25,3858.25,
73,543.39,394.14,4023.00,4023.00,
74,543.52,398.24,3863.50,3863.50,
75,543.64,402.34,3701.50,3701.50,
76,543.76,406.43,3653.25,3653.25,
77,543.88,410.52,3586.88,3586.88,
78,544.00,414.61,3718.12,3718.12,
79,544.12,418.70,3478.75,3478.75,
80,544.24,422.78,3756.50,3756.50,
81,544.36,426.86,3715.25,3715.25,
