ENLIGHTEN Version,2.2.7
Measurement ID,20210319-101104-560203-WP-00532
Serial Number,WP-00532
Model,WP-532-R-SR-S
Label,10:11:04 WP-00532
Declared Match,
Declared Score,0
Scan Averaging,5
Boxcar,0
Technique,Scope
Baseline Correction Algo,
ROI Pixel Start,1023
ROI Pixel End,1023
Slit Width,50
Vignetted,False
Interpolated,False
Raman Intensity Corrected,False
Deconvolved,False
Integration Time,100000
Timestamp,2021-03-19 10:11:04.560203
Note,
Temperature,9.942695953194743
CCD C0,534.4705200195312
CCD C1,0.12332911789417267
CCD C2,-1.4740236110810656e-05
CCD C3,-2.6965287780456038e-09
CCD Offset,0
CCD Gain,1.9
Laser Wavelength,532.0
Laser Enable,False
Laser Power,100
Laser Temperature,0
Pixel Count,1024

Pixel,Wavelength,Wavenumber,Processed,Raw,Dark
132,550.49,631.26,17547.00,17547.00,
133,550.61,635.19,17955.00,17955.00,
134,550.73,639.12,20960.00,20960.00,
135,550.84,643.05,17192.00,17192.00,
136,550.96,646.98,17761.00,17761.00,
137,551.08,650.91,17720.00,17720.00,
138,551.20,654.83,17617.00,17617.00,
139,551.32,658.75,17325.00,17325.00,
140,551.44,662.66,17334.00,17334.00,
141,551.56,666.58,17655.00,17655.00,
142,551.68,670.49,17995.00,17995.00,
143,551.80,674.39,17570.00,17570.00,
144,551.92,678.30,16861.00,16861.00,
145,552.04,682.20,19815.00,19815.00,
146,552.15,686.10,18192.00,18192.00,
147,552.27,690.00,20372.00,20372.00,
148,552.39,693.89,18171.00,18171.00,
149,552.51,697.79,18669.00,18669.00,
150,552.63,701.67,18023.00,18023.00,
151,552.75,705.56,18207.00,18207.00,
152,552.87,709.44,17146.00,17146.00,
153,552.99,713.32,18469.00,18469.00,
154,553.10,717.20,18819.00,18819.00,
155,553.22,721.08,19417.00,19417.00,
156,553.34,724.95,18310.00,18310.00,
157,553.46,728.82,17932.00,17932.00,
158,553.58,732.69,19700.00,19700.00,
159,553.70,736.55,18075.00,18075.00,
160,553.81,740.41,18931.00,18931.00,
161,553.93,744.27,19476.00,19476.00,
162,554.05,748.13,21858.00,21858.00,
163,554.17,751.98,19312.00,19312.00,
164,554.29,755.83,17963.00,17963.00,
165,554.41,759.68,18587.00,18587.00,
166,554.52,763.53,19115.00,19115.00,
167,554.64,767.37,19026.00,19026.00,
168,554.76,771.21,19136.00,19136.00,
169,554.88,775.05,19253.00,19253.00,
170,555.00,778.88,18995.00,18995.00,
171,555.12,782.72,19316.00,19316.00,
172,555.23,786.55,19859.00,19859.00,
173,555.35,790.37,20702.00,20702.00,
174,555.47,794.20,19048.00,19048.00,
175,555.59,798.02,19709.00,19709.00,
176,555.71,801.84,20163.00,20163.00,
177,555.82,805.65,20649.00,20649.00,
178,555.94,809.47,20389.00,20389.00,
179,556.06,813.28,22103.00,22103.00,
180,556.18,817.09,25659.00,25659.00,
181,556.29,820.89,27789.00,27789.00,
182,556.41,824.70,30764.00,30764.00,
183,556.53,828.50,27337.00,27337.00,
184,556.65,832.29,22925.00,22925.00,
185,556.76,836.09,21342.00,21342.00,
186,556.88,839.88,20442.00,20442.00,
187,557.00,843.67,19848.00,19848.00,
188,557.12,847.46,21201.00,21201.00,
189,557.23,851.24,21196.00,21196.00,
190,557.35,855.02,21926.00,21926.00,
191,557.47,858.80,21699.00,21699.00,
192,557.59,862.58,21120.00,21120.00,
193,557.70,866.35,21682.00,21682.00,
194,557.82,870.12,21127.00,21127.00,
195,557.94,873.89,20227.00,20227.00,
196,558.06,877.66,20383.00,20383.00,
197,558.17,881.42,19956.00,19956.00,
198,558.29,885.18,21008.00,21008.00,
199,558.41,888.94,21230.00,21230.00,
200,558.53,892.70,21281.00,21281.00,
201,558.64,896.45,19810.00,19810.00,
202,558.76,900.20,20924.00,20924.00,
203,558.88,903.95,19791.00,19791.00,
204,558.99,907.69,19846.00,19846.00,
205,559.11,911.43,20305.00,20305.00,
206,559.23,915.17,19954.00,19954.00,
207,559.34,918.91,20305.00,20305.00,
208,559.46,922.65,19872.00,19872.00,
209,559.58,926.38,20206.00,20206.00,
210,559.69,930.11,21581.00,21581.00,
211,559.81,933.83,20332.00,20332.00,
212,559.93,937.56,21220.00,21220.00,
213,560.04,941.28,27734.00,27734.00,
214,560.16,945.00,21727.00,21727.00,
215,560.28,948.71,21701.00,21701.00,
216,560.39,952.43,20296.00,20296.00,
217,560.51,956.14,21651.00,21651.00,
218,560.63,959.85,21049.00,21049.00,
219,560.74,963.55,19941.00,19941.00,
220,560.86,967.26,21841.00,21841.00,
221,560.98,970.96,20791.00,20791.00,
222,561.09,974.65,20563.00,20563.00,
223,561.21,978.35,21125.00,21125.00,
224,561.33,982.04,20738.00,20738.00,
225,561.44,985.73,20740.00,20740.00,
226,561.56,989.42,20797.00,20797.00,
227,561.68,993.11,21222.00,21222.00,
228,561.79,996.79,21270.00,21270.00,
229,561.91,1000.47,21376.00,21376.00,
230,562.02,1004.15,21520.00,21520.00,
231,562.14,1007.82,21353.00,21353.00,
232,562.26,1011.49,21017.00,21017.00,
233,562.37,1015.16,21431.00,21431.00,
234,562.49,1018.83,27851.00,27851.00,
235,562.60,1022.50,21911.00,21911.00,
236,562.72,1026.16,22437.00,22437.00,
237,562.84,1029.82,22025.00,22025.00,
238,562.95,1033.47,21917.00,21917.00,
239,563.07,1037.13,22204.00,22204.00,
240,563.18,1040.78,22665.00,22665.00,
241,563.30,1044.43,21784.00,21784.00,
242,563.41,1048.08,22397.00,22397.00,
243,563.53,1051.72,23698.00,23698.00,
244,563.65,1055.36,23842.00,23842.00,
