ENLIGHTEN Version,2.2.7
Measurement ID,20210317-132409-250580-WP-00532
Serial Number,WP-00532
Model,WP-532-R-SR-S
Label,13:24:09 WP-00532
Declared Match,
Declared Score,0
Scan Averaging,15
Boxcar,0
Technique,Scope
Baseline Correction Algo,
ROI Pixel Start,1023
ROI Pixel End,1023
Slit Width,50
Vignetted,False
Interpolated,False
Raman Intensity Corrected,False
Deconvolved,False
Integration Time,2
Timestamp,2021-03-17 13:24:09.250580
Note,
Temperature,9.942695953194743
CCD C0,534.4705200195312
CCD C1,0.12332911789417267
CCD C2,-1.4740236110810656e-05
CCD C3,-2.6965287780456038e-09
CCD Offset,0
CCD Gain,1.9
Laser Wavelength,532.0
Laser Enable,False
Laser Power,100
Laser Temperature,0
Pixel Count,1024

Pixel,Wavelength,Wavenumber,Processed,Raw,Dark
123,549.41,595.71,-0.67,936.47,937.13
124,549.53,599.67,-1.20,934.67,935.87
125,549.65,603.63,1.47,938.00,936.53
126,549.77,607.59,2.33,939.67,937.33
127,549.89,611.54,-2.67,936.47,939.13
128,550.01,615.49,1.53,935.93,934.40
129,550.13,619.43,-1.00,937.00,938.00
130,550.25,623.38,1.20,938.27,937.07
131,550.37,627.32,-1.27,937.67,938.93
132,550.49,631.26,2.27,938.60,936.33
133,550.61,635.19,-1.07,936.60,937.67
134,550.73,639.12,0.60,938.27,937.67
135,550.84,643.05,1.87,937.47,935.60
136,550.96,646.98,-1.07,937.13,938.20
137,551.08,650.91,2.13,939.67,937.53
138,551.20,654.83,-0.40,937.07,937.47
139,551.32,658.75,2.07,936.47,934.40
140,551.44,662.66,0.93,936.13,935.20
141,551.56,666.58,2.00,938.20,936.20
142,551.68,670.49,-1.13,937.47,938.60
143,551.80,674.39,2.60,937.87,935.27
144,551.92,678.30,-1.87,934.47,936.33
145,552.04,682.20,-2.67,935.07,937.73
146,552.15,686.10,1.47,938.93,937.47
147,552.27,690.00,0.47,938.47,938.00
148,552.39,693.89,1.80,938.07,936.27
149,552.51,697.79,-5.60,934.73,940.33
150,552.63,701.67,-1.00,933.87,934.87
151,552.75,705.56,1.13,938.13,937.00
152,552.87,709.44,3.20,937.47,934.27
153,552.99,713.32,0.47,937.20,936.73
154,553.10,717.20,3.60,938.67,935.07
155,553.22,721.08,-0.40,936.00,936.40
156,553.34,724.95,-0.93,935.27,936.20
157,553.46,728.82,2.93,936.93,934.00
158,553.58,732.69,3.20,940.33,937.13
159,553.70,736.55,2.00,939.53,937.53
160,553.81,740.41,-1.27,935.73,937.00
161,553.93,744.27,1.73,936.73,935.00
162,554.05,748.13,3.40,937.87,934.47
163,554.17,751.98,4.27,938.00,933.73
164,554.29,755.83,-0.07,938.13,938.20
165,554.41,759.68,0.80,937.47,936.67
166,554.52,763.53,-1.00,936.53,937.53
167,554.64,767.37,1.27,936.33,935.07
168,554.76,771.21,-0.60,935.47,936.07
169,554.88,775.05,1.13,937.80,936.67
170,555.00,778.88,2.67,938.47,935.80
171,555.12,782.72,1.40,937.80,936.40
172,555.23,786.55,1.87,937.33,935.47
173,555.35,790.37,1.13,936.93,935.80
174,555.47,794.20,1.80,936.80,935.00
175,555.59,798.02,-1.67,937.13,938.80
176,555.71,801.84,0.13,938.60,938.47
177,555.82,805.65,1.20,936.27,935.07
178,555.94,809.47,1.73,936.93,935.20
179,556.06,813.28,5.20,939.93,934.73
180,556.18,817.09,2.53,939.60,937.07
181,556.29,820.89,6.87,939.93,933.07
182,556.41,824.70,1.53,937.53,936.00
183,556.53,828.50,3.13,938.27,935.13
184,556.65,832.29,2.87,938.80,935.93
185,556.76,836.09,2.27,937.33,935.07
186,556.88,839.88,0.20,938.47,938.27
187,557.00,843.67,0.53,937.07,936.53
188,557.12,847.46,2.40,936.93,934.53
189,557.23,851.24,2.33,937.80,935.47
190,557.35,855.02,2.33,937.73,935.40
191,557.47,858.80,0.67,939.73,939.07
192,557.59,862.58,2.13,938.93,936.80
193,557.70,866.35,0.47,938.07,937.60
194,557.82,870.12,-0.20,935.93,936.13
195,557.94,873.89,4.27,940.20,935.93
196,558.06,877.66,7.07,941.47,934.40
197,558.17,881.42,-1.80,937.40,939.20
198,558.29,885.18,-0.47,938.60,939.07
199,558.41,888.94,3.47,938.20,934.73
200,558.53,892.70,2.67,939.33,936.67
201,558.64,896.45,2.53,939.00,936.47
202,558.76,900.20,0.60,936.53,935.93
203,558.88,903.95,3.87,939.20,935.33
204,558.99,907.69,1.20,938.40,937.20
205,559.11,911.43,0.47,937.13,936.67
206,559.23,915.17,1.47,937.60,936.13
207,559.34,918.91,3.40,939.80,936.40
208,559.46,922.65,1.60,938.00,936.40
209,559.58,926.38,0.93,936.87,935.93
210,559.69,930.11,0.40,936.07,935.67
211,559.81,933.83,2.53,938.80,936.27
212,559.93,937.56,4.00,938.40,934.40
213,560.04,941.28,2.20,940.07,937.87
214,560.16,945.00,0.67,937.07,936.40
215,560.28,948.71,0.47,937.47,937.00
216,560.39,952.43,3.93,939.47,935.53
217,560.51,956.14,4.20,939.53,935.33
218,560.63,959.85,3.40,939.93,936.53
219,560.74,963.55,-2.20,936.33,938.53
220,560.86,967.26,-0.27,937.13,937.40
221,560.98,970.96,3.67,939.53,935.87
222,561.09,974.65,2.20,939.13,936.93
223,561.21,978.35,5.07,939.60,934.53
224,561.33,982.04,3.20,939.73,936.53
225,561.44,985.73,3.80,939.60,935.80
226,561.56,989.42,1.53,936.00,934.47
227,561.68,993.11,1.67,937.80,936.13
228,561.79,996.79,0.80,937.53,936.73
229,561.91,1000.47,6.87,941.40,934.53
230,562.02,1004.15,2.93,939.53,936.60
231,562.14,1007.82,-1.87,934.93,936.80
232,562.26,1011.49,3.93,939.47,935.53
233,562.37,1015.16,2.60,941.27,938.67
234,562.49,1018.83,3.87,940.00,936.13
235,562.60,1022.50,-1.47,937.07,938.53
236,562.72,1026.16,3.27,939.33,936.07
237,562.84,1029.82,3.40,938.33,934.93
238,562.95,1033.47,-0.33,937.87,938.20
239,563.07,1037.13,1.40,937.13,935.73
240,563.18,1040.78,2.53,939.87,937.33
241,563.30,1044.43,3.80,940.13,936.33
242,563.41,1048.08,0.87,938.80,937.93
243,563.53,1051.72,4.07,938.60,934.53
244,563.65,1055.36,1.93,938.40,936.47
245,563.76,1059.00,5.53,940.73,935.20
246,563.88,1062.64,1.40,939.33,937.93
247,563.99,1066.27,-0.40,936.47,936.87
248,564.11,1069.90,0.73,938.00,937.27
249,564.22,1073.53,3.27,939.20,935.93
250,564.34,1077.16,3.87,938.53,934.67
251,564.45,1080.78,6.00,942.27,936.27
252,564.57,1084.40,3.33,939.53,936.20
